Advent Software,www.advent.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,307,3.2,3.2,3.9,3.4,OK,58,3.1,4.1
SAP,www.sap.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,7681,4.1,4.3,4.4,4.4,Very Satisfied,91,4.0,4.2
Franklin Templeton Investments,www.franklintempleton.com,Investment Banking & Asset Management,Investment Banking & Asset Management,Finance,706,2.9,3.4,3.7,3.6,Satisfied,75,3.0,3.8
Microsoft,www.microsoft.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,19689,3.8,4.1,4.0,4.1,Very Satisfied,85,3.5,3.8
Walgreens,www.walgreens.com,Drug & Health Stores,Drug & Health Stores,Retail,12402,3.1,3.1,3.1,3.2,OK,51,2.8,2.9
Deem,www.deem.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,222,2.3,3.0,2.5,2.5,OK,30,2.2,3.2
SRI International,www.sri.com,Research & Development,Research & Development,Business Services,298,3.2,3.0,3.4,3.5,Satisfied,65,2.8,3.8
Fitbit,www.fitbit.com,Consumer Products Manufacturing,Consumer Products Manufacturing,Manufacturing,211,2.8,3.3,3.5,3.2,OK,51,2.6,3.8
Meraki,meraki.cisco.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,207,3.7,3.5,4.2,3.8,Satisfied,72,3.8,4.0
Hotwire,www.hotwire.com,Travel Agencies,Travel Agencies,Travel & Tourism,182,3.2,3.4,3.6,3.4,OK,65,2.8,4.1
Pandora Media,www.pandora.com,Radio,Radio,Media,283,3.1,3.4,4.0,3.4,OK,60,3.1,4.2
Pinterest,www.pinterest.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,207,3.7,4.1,4.2,4.0,Satisfied,71,3.6,4.2
Thermo Fisher Scientific,jobs.thermofisher.com,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,2387,3.2,3.3,3.3,3.4,OK,62,3.0,3.2
Bain & Company,www.bain.com,Consulting,Consulting,Business Services,2022,4.7,4.7,4.7,4.6,Very Satisfied,94,4.5,3.6
Fireman's Fund Insurance,www.firemansfund.com,Insurance Carriers,Insurance Carriers,Insurance,283,2.6,3.4,3.2,2.8,OK,30,2.4,3.5
Eventbrite,www.eventbrite.com,Internet,Internet,Information Technology,237,3.8,3.9,4.2,4.2,Very Satisfied,78,3.8,4.3
ClearSlide,www.clearslide.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,162,3.0,3.3,3.2,3.1,OK,52,3.0,3.6
BioMarin Pharmaceutical,www.biomarin.com,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,233,3.2,3.7,3.4,3.2,OK,57,2.9,3.2
Gusto,www.gusto.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,201,4.0,3.8,4.4,4.2,Very Satisfied,85,4.1,4.0
Sears,www.searshc.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,10585,2.5,2.4,2.6,2.7,OK,29,2.3,2.9
EMC,www.dellemc.com,IT Services,IT Services,Information Technology,4621,3.5,3.8,3.7,3.8,Satisfied,75,3.3,3.7
AppDynamics,www.appdynamics.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,301,4.3,4.4,4.3,4.4,Very Satisfied,89,4.2,3.9
Minted,www.minted.com,Other Retail Stores,Other Retail Stores,Retail,178,3.1,2.9,3.4,3.5,Satisfied,68,3.3,3.6
US Air Force,www.af.mil,Federal Agencies,Federal Agencies,Government,11671,4.2,4.4,4.1,4.2,Very Satisfied,87,3.2,3.2
YapStone,www.yapstone.com,Financial Transaction Processing,Financial Transaction Processing,Finance,225,3.4,3.5,3.5,3.6,Satisfied,68,3.4,3.5
